day,total_sales,average_order_value,orders
2019-12-02,395.4,67.428,5
2019-12-03,600.86,61.632,9
2019-12-04,616.33,110.148,5
2019-12-05,548.57,103.226,5
2019-12-06,1043.61,85.277,11
2019-12-07,178.86,71.365,2
2019-12-08,184.21,76.45,2
2019-12-09,426.45,61.073,6
2019-12-10,350.22,37.767,7
2019-12-11,141.17,43.97,3
2019-12-12,650.13,58.873,10
2019-12-13,846.13,162.642,5
2019-12-14,214.09,57.466,3
2019-12-15,276.67,126.835,2
2019-12-16,883.96,138.626,6
2019-12-17,577.24,43.761,12
2019-12-18,696.85,85.13,7
2019-12-19,571.82,90.651,6
2019-12-20,336.25,66.95,4
2019-12-21,454.64,145.163,3
2019-12-22,333.82,50.494,5
2019-12-23,559.87,135.242,4
2019-12-24,290.9,86.633,3
2019-12-25,0.0,0.0,0
2019-12-26,68.05,28.475,2
2019-12-27,583.86,143.302,4
2019-12-28,273.16,53.167,4
2019-12-29,427.33,69.126,5
2019-12-30,143.11,39.653,3
2019-12-31,472.38,83.382,5
2020-01-01,467.1,137.52,3
2020-01-02,402.93,43.591,8
2020-01-03,344.14,39.085,7
2020-01-04,335.1,41.936,6
2020-01-05,263.76,76.186,3
2020-01-06,468.41,84.24,5
2020-01-07,781.85,70.141,10
2020-01-08,1136.36,68.191,15
2020-01-09,277.69,52.016,5
2020-01-10,380.84,33.049,10
2020-01-11,773.65,87.853,8
2020-01-12,887.91,81.684,9
2020-01-13,545.39,68.16,7
2020-01-14,459.96,48.737,8
2020-01-15,1138.51,46.072,22
2020-01-16,1654.55,48.54,29
2020-01-17,859.39,98.746,8
2020-01-18,1014.8,113.842,8
2020-01-19,774.6,73.31,9
2020-01-20,1767.53,134.05,12
2020-01-21,734.85,47.012,14
2020-01-22,1091.29,67.397,14
2020-01-23,419.68,35.09,10
2020-01-24,1009.18,87.323,11
2020-01-25,671.32,69.915,8
2020-01-26,1014.4,115.666,8
2020-01-27,865.57,137.25,6
2020-01-28,359.41,46.901,6
2020-01-29,461.68,98.05,4
2020-01-30,843.1,73.713,10
2020-01-31,1005.14,93.942,10
2020-02-01,235.44,44.012,4
2020-02-02,1250.12,85.265,12
2020-02-03,322.55,52.58,5
2020-02-04,1276.51,92.389,12
2020-02-05,667.95,59.175,9
2020-02-06,1113.01,82.887,12
2020-02-07,689.44,49.46,12
2020-02-08,482.79,86.166,5
2020-02-09,1012.71,88.15,10
2020-02-10,1211.29,99.529,11
2020-02-11,399.77,35.473,10
2020-02-12,624.38,80.515,7
2020-02-13,563.06,53.192,9
2020-02-14,794.03,95.338,7
2020-02-15,1247.79,102.369,10
2020-02-16,242.02,37.642,5
2020-02-17,1316.88,108.749,11
2020-02-18,739.0,71.94,9
2020-02-19,466.63,84.354,5
2020-02-20,1390.06,64.801,19
2020-02-21,488.55,45.218,9
2020-02-22,888.61,88.332,9
2020-02-23,1392.17,224.451,6
2020-02-24,750.08,113.216,6
2020-02-25,882.09,74.382,10
2020-02-26,1186.89,71.548,15
2020-02-27,1342.31,140.448,9
2020-02-28,720.02,62.973,10
2020-02-29,1437.62,171.961,8
2020-03-01,278.04,133.255,2
2020-03-02,1031.84,95.463,9
2020-03-03,832.13,78.475,9
2020-03-04,1614.59,137.403,11
2020-03-05,404.4,51.045,6
2020-03-06,1517.13,89.375,15
2020-03-07,1132.65,178.183,6
2020-03-08,398.09,87.302,4
2020-03-09,1443.05,117.67,11
2020-03-10,1772.93,104.031,16
2020-03-11,1359.89,111.726,11
2020-03-12,1243.78,98.451,12
2020-03-13,1860.25,101.518,17
2020-03-14,2138.5,131.772,15
2020-03-15,1688.81,94.641,16
2020-03-16,2187.19,115.647,17
2020-03-17,2189.77,130.477,15
2020-03-18,1187.87,77.62,13
2020-03-19,992.23,72.966,12
2020-03-20,2612.0,111.033,22
2020-03-21,1439.73,93.909,13
2020-03-22,1070.43,119.45,8
2020-03-23,1624.5,85.286,16
2020-03-24,1152.16,73.462,14
2020-03-25,936.37,72.145,11
2020-03-26,369.54,41.948,7
2020-03-27,491.41,58.11,7
2020-03-28,1173.34,108.344,10
2020-03-29,1465.54,95.364,13
2020-03-30,1035.97,65.277,12
2020-03-31,1224.89,81.214,13
2020-04-01,1795.03,90.777,18
2020-04-02,1024.08,102.373,9
2020-04-03,1572.68,98.423,14
2020-04-04,977.24,72.7,11
2020-04-05,1106.7,128.323,8
2020-04-06,1417.91,112.923,11
2020-04-07,1803.54,132.199,12
2020-04-08,886.47,51.124,14
2020-04-09,817.81,90.621,8
2020-04-10,907.1,82.586,10
2020-04-11,819.08,81.33,9
2020-04-12,363.05,111.683,3
2020-04-13,1471.91,78.797,16
2020-04-14,2040.27,119.081,16
2020-04-15,986.9,88.237,10
2020-04-16,1653.32,83.06,17
2020-04-17,765.4,92.687,7
2020-04-18,955.39,57.185,14
2020-04-19,2397.53,133.034,17
2020-04-20,1211.79,56.07,18
2020-04-21,1015.69,84.489,10
2020-04-22,1124.71,90.431,11
2020-04-23,1287.07,108.798,11
2020-04-24,709.95,89.25,7
2020-04-25,1288.03,74.676,15
2020-04-26,616.01,71.678,7
2020-04-27,699.14,53.765,10
2020-04-28,550.91,67.221,7
2020-04-29,1222.67,76.252,15
2020-04-30,1628.91,65.633,20
2020-05-01,1009.74,112.561,8
2020-05-02,906.06,99.63,8
2020-05-03,1435.52,108.975,12
2020-05-04,1404.13,87.821,15
2020-05-05,1637.75,95.917,15
2020-05-06,1141.17,79.838,12
2020-05-07,1457.58,83.844,15
2020-05-08,508.18,61.672,7
2020-05-09,1767.79,105.81,15
2020-05-10,706.74,93.463,6
2020-05-11,1392.86,90.665,13
2020-05-12,1257.17,84.57,13
2020-05-13,1381.71,82.209,15
2020-05-14,784.64,150.852,5
2020-05-15,1408.86,119.003,11
2020-05-16,1251.26,78.286,14
2020-05-17,814.16,76.092,9
2020-05-18,1481.52,86.711,15
2020-05-19,1505.2,105.786,13
2020-05-20,1782.76,84.193,19
2020-05-21,1201.83,95.342,11
2020-05-22,988.4,95.285,9
2020-05-23,785.47,111.675,6
2020-05-24,1069.36,106.256,9
2020-05-25,614.08,95.113,6
2020-05-26,1228.89,80.322,13
2020-05-27,1456.28,103.295,13
2020-05-28,1517.66,110.319,12
2020-05-29,867.1,98.26,8
2020-05-30,1194.09,115.976,9
2020-05-31,1165.22,107.27,10
2020-06-01,1126.77,83.393,11
2020-06-02,1254.99,98.02,11
2020-06-03,1200.87,80.348,12
2020-06-04,950.18,74.0,11
2020-06-05,1171.63,103.792,10
2020-06-06,688.92,77.528,8
2020-06-07,309.02,42.77,6
2020-06-08,1573.26,120.94,12
2020-06-09,735.89,76.287,9
2020-06-10,1294.26,90.336,13
2020-06-11,1827.49,89.74,18
2020-06-12,1535.45,95.426,14
2020-06-13,656.43,92.768,6
2020-06-14,365.1,48.016,6
2020-06-15,1560.95,145.004,10
2020-06-16,892.75,75.57,10
2020-06-17,463.17,49.131,8
2020-06-18,1030.58,141.981,7
2020-06-19,728.45,98.505,7
2020-06-20,934.01,64.37,12
2020-06-21,862.82,79.47,9
2020-06-22,1262.51,88.893,13
2020-06-23,1027.15,76.948,12
2020-06-24,975.63,150.898,6
2020-06-25,1003.6,81.511,11
2020-06-26,1962.87,140.753,13
2020-06-27,1104.89,149.695,7
2020-06-28,950.89,116.652,7
2020-06-29,1674.47,71.297,20
2020-06-30,681.11,73.801,8
2020-07-01,2052.28,113.839,17
2020-07-02,1426.35,90.847,14
2020-07-03,1403.55,123.391,10
2020-07-04,501.73,81.202,5
2020-07-05,2176.29,101.701,18
2020-07-06,1242.89,90.358,12
2020-07-07,667.01,51.401,11
2020-07-08,1449.49,100.514,13
2020-07-09,1116.12,72.496,13
2020-07-10,844.08,88.432,10
2020-07-11,1341.99,158.407,8
2020-07-12,845.28,85.583,9
2020-07-13,1140.17,190.028,6
2020-07-14,1248.25,68.214,15
2020-07-15,741.69,82.822,8
2020-07-16,796.09,54.441,12
2020-07-17,2028.48,94.864,19
2020-07-18,536.86,69.068,7
2020-07-19,401.11,53.881,6
2020-07-20,1436.51,90.44,14
2020-07-21,463.19,73.66,6
2020-07-22,884.63,139.726,6
2020-07-23,1280.26,69.15,16
2020-07-24,1853.89,105.173,16
2020-07-25,749.65,65.405,9
2020-07-26,1370.06,105.005,12
2020-07-27,1806.19,109.8,15
2020-07-28,1316.07,80.63,14
2020-07-29,695.51,81.96,8
2020-07-30,608.99,94.408,6
2020-07-31,1052.64,76.021,12
2020-08-01,712.2,88.782,7
2020-08-02,540.5,66.688,7
2020-08-03,1211.21,111.698,10
2020-08-04,1233.19,127.336,9
2020-08-05,1270.53,98.804,12
2020-08-06,600.88,80.242,7
2020-08-07,828.59,87.157,8
2020-08-08,1263.54,113.409,10
2020-08-09,1667.05,142.35,11
2020-08-10,1179.27,96.36,11
2020-08-11,850.49,79.956,9
2020-08-12,1150.24,120.097,9
2020-08-13,860.75,208.992,4
2020-08-14,970.78,189.2,5
2020-08-15,959.46,188.92,5
2020-08-16,720.51,135.178,5
2020-08-17,1144.2,144.23,7
2020-08-18,1322.24,216.243,6
2020-08-19,901.69,76.958,10
2020-08-20,1549.71,114.013,12
2020-08-21,1892.26,123.224,14
2020-08-22,652.56,95.861,6
2020-08-23,688.56,98.088,6
2020-08-24,1376.28,95.304,13
2020-08-25,2085.99,123.458,15
2020-08-26,1394.85,102.083,12
2020-08-27,2032.98,135.879,14
2020-08-28,431.37,98.812,4
2020-08-29,1703.25,146.188,11
2020-08-30,1547.02,129.977,11
2020-08-31,866.28,92.918,8
2020-09-01,833.97,159.476,5
2020-09-02,829.47,66.295,10
2020-09-03,612.74,58.654,9
2020-09-04,1100.78,124.843,8
2020-09-05,901.61,117.042,7
2020-09-06,1054.32,140.877,7
2020-09-07,1101.07,131.608,8
2020-09-08,1508.08,128.919,11
2020-09-09,1031.47,91.627,10
2020-09-10,1016.79,164.251,6
2020-09-11,610.03,97.246,6
2020-09-12,958.13,110.372,8
2020-09-13,705.1,88.248,7
2020-09-14,1811.95,141.355,12
2020-09-15,1338.9,93.041,13
2020-09-16,896.99,100.736,8
2020-09-17,1261.48,83.542,13
2020-09-18,534.75,52.112,8
2020-09-19,1402.44,164.9,8
2020-09-20,1008.74,99.632,9
2020-09-21,870.07,87.243,9
2020-09-22,1249.62,142.957,11
2020-09-23,931.13,105.975,8
2020-09-24,615.38,99.537,7
2020-09-25,526.1,124.212,4
2020-09-26,607.56,108.2,5
2020-09-27,872.95,100.138,8
2020-09-28,2024.28,131.305,14
2020-09-29,1109.44,151.014,7
2020-09-30,486.06,64.571,6
2020-10-01,543.75,102.952,5
2020-10-02,892.72,101.365,8
2020-10-03,467.84,98.977,4
2020-10-04,1302.7,107.494,11
2020-10-05,2601.19,141.814,17
2020-10-06,1035.11,92.318,10
2020-10-07,1040.69,140.884,7
2020-10-08,1405.42,102.505,12
2020-10-09,1048.97,144.981,7
2020-10-10,867.11,210.982,4
2020-10-11,416.47,65.47,5
2020-10-12,1010.5,114.866,8
2020-10-13,1196.57,96.224,11
2020-10-14,465.52,84.06,5
2020-10-15,1510.77,156.688,9
2020-10-16,1383.05,111.543,11
2020-10-17,736.86,111.408,6
2020-10-18,1196.84,137.478,8
2020-10-19,1560.1,187.577,8
2020-10-20,1530.37,126.954,11
2020-10-21,761.59,95.221,7
2020-10-22,773.21,95.054,7
2020-10-23,597.6,84.77,6
2020-10-24,1183.3,118.518,9
2020-10-25,967.09,99.685,9
2020-10-26,1226.55,125.118,9
2020-10-27,1000.12,86.649,10
2020-10-28,955.46,152.738,6
2020-10-29,1095.73,172.846,6
2020-10-30,1028.73,87.791,10
2020-10-31,1242.49,129.008,9
2020-11-01,1047.62,139.835,7
2020-11-02,1285.33,95.861,13
2020-11-03,1035.77,163.256,6
2020-11-04,1264.33,101.834,11
2020-11-05,646.13,63.718,8
2020-11-06,1097.39,83.908,11
2020-11-07,894.51,75.382,10
2020-11-08,1090.08,41.539,19
2020-11-09,1865.0,80.139,20
2020-11-10,1396.66,74.511,16
2020-11-11,892.44,74.801,10
2020-11-12,1513.02,91.528,14
2020-11-13,941.61,72.877,11
2020-11-14,1992.99,108.435,17
2020-11-15,2390.61,73.792,27
2020-11-16,1640.11,81.249,17
2020-11-17,1054.52,56.754,15
2020-11-18,2382.81,88.884,23
2020-11-19,685.61,76.58,8
2020-11-20,1404.87,84.408,15
2020-11-21,1665.87,144.816,11
2020-11-22,3120.0,125.748,23
2020-11-23,1892.27,116.975,15
2020-11-24,1008.25,119.412,8
2020-11-25,759.78,116.406,6
2020-11-26,1130.03,51.947,19
2020-11-27,3041.65,84.9,34
2020-11-28,2185.19,94.774,21
2020-11-29,2845.37,94.338,28
2020-11-30,6567.71,103.723,59
2020-12-01,10417.07,92.415,25
2020-12-02,8917.39,65.527,14
2020-12-03,1339.43,72.463,16
2020-12-04,1067.31,77.52,12
2020-12-05,1442.93,68.536,19
2020-12-06,1024.58,56.418,15
2020-12-07,3446.46,100.879,31
2020-12-08,1637.17,75.687,19
2020-12-09,1931.05,78.077,22
2020-12-10,1057.31,65.557,14
2020-12-11,2393.92,109.336,20
2020-12-12,1822.57,100.828,17
2020-12-13,2703.58,83.463,29
2020-12-14,1950.26,61.109,28
2020-12-15,2895.11,64.533,38
2020-12-16,1624.27,60.447,25
2020-12-17,1726.61,55.505,26
2020-12-18,2678.01,72.753,32
2020-12-19,1838.76,68.585,24
2020-12-20,2269.18,94.16,22
2020-12-21,3202.37,129.435,23
2020-12-22,1128.91,47.198,19
2020-12-23,1328.15,47.42,23
2020-12-24,1446.5,64.853,21
2020-12-25,2111.5,104.048,19
2020-12-26,3033.72,90.032,30
2020-12-27,2242.5,74.418,26
2020-12-28,1954.15,57.025,28
2020-12-29,1942.99,80.587,21
2020-12-30,2086.78,70.758,25
2020-12-31,1734.69,106.112,15
2021-01-01,2558.39,67.884,32
2021-01-02,2192.03,66.247,28
2021-01-03,2644.09,66.187,34
2021-01-04,3962.71,87.087,40
2021-01-05,3842.75,73.605,45
2021-01-06,3203.99,60.211,43
2021-01-07,3783.99,82.563,40
2021-01-08,3290.2,78.032,38
2021-01-09,2844.17,71.637,35
2021-01-10,4421.57,108.694,37
2021-01-11,5590.98,93.777,54
2021-01-12,3233.85,58.54,47
2021-01-13,655.67,39.015,13
2021-01-14,4677.18,105.078,43
2021-01-15,4660.11,93.879,45
2021-01-16,2585.61,45.04,45
2021-01-17,3133.98,53.85,47
2021-01-18,2321.97,46.315,41
2021-01-19,1728.84,64.165,23
2021-01-20,3013.97,66.566,39
2021-01-21,3526.34,57.286,55
2021-01-22,3618.21,65.999,46
2021-01-23,2980.19,57.721,42
2021-01-24,5448.28,84.351,57
2021-01-25,5005.03,65.962,64
2021-01-26,4986.7,53.547,75
2021-01-27,5121.99,75.915,59
2021-01-28,3855.1,53.838,58
2021-01-29,3691.18,56.64,54
2021-01-30,3480.89,68.432,44
2021-01-31,3478.96,51.02,54
2021-02-01,4310.6,64.842,56
2021-02-02,5270.66,68.672,65
2021-02-03,5844.57,70.427,72
2021-02-04,4010.54,58.564,58
2021-02-05,3242.27,50.118,52
2021-02-06,4715.59,61.482,65
2021-02-07,2989.53,45.32,52
2021-02-08,4798.39,78.126,52
2021-02-09,3683.73,71.598,42
2021-02-10,3382.91,61.182,45
2021-02-11,3974.06,64.392,51
2021-02-12,4025.39,61.028,53
2021-02-13,3664.95,55.791,50
2021-02-14,4899.2,68.806,58
2021-02-15,4827.79,75.124,54
2021-02-16,3109.98,54.592,44
2021-02-17,5256.87,86.823,52
2021-02-18,7400.77,94.18,69
2021-02-19,3773.69,74.618,42
2021-02-20,5054.8,79.479,54
2021-02-21,5678.73,76.687,61
2021-02-22,1998.0,84.888,20
2021-02-23,1974.11,62.907,25
2021-02-24,4538.73,70.747,53
2021-02-25,3579.37,62.979,46
2021-02-26,4332.87,67.298,51
2021-02-27,4470.07,91.495,42
2021-02-28,4178.64,57.065,57
2021-03-01,5690.37,88.659,55
2021-03-02,4911.49,69.362,58
2021-03-03,4451.62,61.506,58
2021-03-04,5244.57,73.017,60
2021-03-05,5234.02,82.914,54
2021-03-06,4582.93,78.583,49
2021-03-07,5019.42,68.191,60
2021-03-08,6878.91,81.469,71
2021-03-09,4923.3,68.741,58
2021-03-10,3973.41,75.125,44
2021-03-11,3183.61,76.854,35
2021-03-12,5184.17,88.627,50
2021-03-13,3252.06,65.009,41
2021-03-14,4364.31,68.129,51
2021-03-15,5167.02,72.9,58
2021-03-16,4539.49,73.062,51
2021-03-17,5125.5,66.171,61
2021-03-18,4457.38,60.115,59
2021-03-19,3253.81,54.628,45
2021-03-20,3341.97,70.774,38
2021-03-21,4453.21,70.075,51
2021-03-22,5158.17,82.337,53
2021-03-23,4227.27,73.203,47
2021-03-24,6242.34,72.991,72
2021-03-25,4813.24,86.202,47
2021-03-26,3487.41,54.419,48
2021-03-27,3730.15,57.705,50
2021-03-28,5116.51,93.188,47
2021-03-29,3595.92,61.682,47
2021-03-30,4099.95,77.644,44
2021-03-31,5348.05,77.427,58
2021-04-01,8758.04,64.618,125
2021-04-02,4942.16,59.983,75
2021-04-03,4747.68,55.642,81
2021-04-04,3150.61,49.616,56
2021-04-05,4955.37,64.545,70
2021-04-06,5034.11,54.036,83
2021-04-07,14360.39,95.243,142
2021-04-08,4035.57,59.96,63
2021-04-09,5189.71,62.672,75
2021-04-10,3275.77,42.45,66
2021-04-11,5163.16,61.302,77
2021-04-12,6296.73,70.045,82
2021-04-13,6166.18,61.991,92
2021-04-14,5435.79,61.795,82
2021-04-15,4266.34,49.874,75
2021-04-16,3396.27,55.943,54
2021-04-17,4462.55,54.4,74
2021-04-18,4098.76,51.306,72
2021-04-19,4512.45,46.402,86
2021-04-20,5585.22,53.42,93
2021-04-21,4520.45,68.739,60
2021-04-22,5854.69,63.152,85
2021-04-23,13833.35,84.652,154
2021-04-24,8503.33,67.583,116
2021-04-25,5898.58,62.319,86
2021-04-26,4532.96,51.568,79
2021-04-27,3648.35,48.448,67
2021-04-28,4192.38,59.769,67
2021-04-29,2919.4,41.085,62
2021-04-30,2419.33,77.625,29
2021-05-01,7076.57,65.976,98
2021-05-02,5534.19,61.469,82
2021-05-03,4551.49,54.894,74
2021-05-04,6127.63,68.689,82
2021-05-05,6860.19,56.461,109
2021-05-06,6592.18,64.709,97
2021-05-07,6675.05,62.367,97
2021-05-08,7108.68,58.932,111
2021-05-09,7593.4,58.602,123
2021-05-10,3828.18,47.569,71
2021-05-11,3774.13,59.435,58
2021-05-12,2829.11,58.328,45
